mag_1,mag_2,mag_3,mag_4,x_1,y_1,z_1,x_2,y_2,z_2,x_3,y_3,z_3,x_4,y_4,z_4,avg_mag,max_mag,min_mag,range_mag,std_mag,left_right_diff,top_bottom_diff,diag1_diff,diag2_diff,strongest_sensor,rssi,label
6645.357702938195,1917.6303084797132,4143.167508078813,1934.1639020517368,-785,-427,-6585,-91,-1641,988,202,-2608,-3213,1893,-271,290,3660.0798553871145,6645.357702938195,1917.6303084797132,4727.727394458481,1946.8033933064328,3468.365500242779,1242.8283006436795,4711.193800886458,-2225.5371995990995,1,-61,screwdriver
1976.608711910377,4328.350494125909,13092.012717684016,2302.952018605685,483,267,1898,1975,-3733,948,-438,-3117,12708,-938,-512,2040,5424.9809855814965,13092.012717684016,1976.608711910377,11115.404005773638,4517.308662918576,4218.6594584314,-4545.002765126708,-326.34330669530823,-8763.662223558107,3,-58,screwdriver
19656.880449349028,2274.51643212354,16622.16261501493,3208.6762067868426,12390,-6985,-13568,-815,-1060,1840,-7168,-7521,-12975,3007,-427,-1035,10440.558925818585,19656.880449349028,2274.51643212354,17382.36401722549,7780.378915355593,15397.925212726786,1050.2790298353957,16448.204242562184,-14347.64618289139,1,-71,magnet
3685.525607019981,2067.054425988827,11143.500033651904,1187.347463887467,-43,765,-3605,-763,-1636,1007,-112,-1357,-11060,1131,-213,-292,4520.856882637045,11143.500033651904,1187.347463887467,9956.152569764436,3927.168578850832,5787.311875397796,-3289.1337322652817,2498.1781431325144,-9076.445607663078,3,-62,screwdriver
613.2829689466356,2507.105502367222,2839.754390788049,945.6050972789856,-296,470,-260,1352,-1893,935,330,-2331,1588,-460,-312,765,1726.4369898452228,2839.754390788049,613.2829689466356,2226.471421841413,961.474035059796,0.163380044238238,-332.4855083765883,-332.3221283323501,-332.64888842082655,3,-61,empty
623.3377896453896,2490.7264000688633,2831.0600488156374,947.593794829831,-291,485,-262,1337,-1882,935,340,-2310,1601,-470,-303,765,1723.1795083399302,2831.0600488156374,623.3377896453896,2207.7222591702475,952.327744023745,8.038821781166462,-332.2948269656076,-324.2560051844414,-340.3336487467741,3,-61,empty
17402.742140249047,1863.810344428853,5522.062839193339,4916.826110409031,2715,-15160,-8103,42,-955,1600,623,-4340,-3357,3423,-3255,-1365,7426.360358570068,17402.742140249047,1863.810344428853,15538.931795820194,5924.404343447454,8072.084262302251,4413.831767537766,12485.916029840017,-3658.2524947644856,1,-74,magnet
1181.055883521182,2042.9657363744504,3741.772841849168,7058.254033399478,-757,780,462,1197,-1050,1280,3096,-1612,1348,131,-1333,-6930,3506.01212378607,7058.254033399478,1181.055883521182,5877.198149878296,2248.3289323106383,-2089.195522201789,-3788.002627676507,-5877.198149878296,-1698.807105474718,4,-63,scissors
1771.2295164658926,3454.041835299625,2073.9018781032046,1065.95497090637,627,1605,-410,1121,-2808,1670,-597,-1276,1522,48,-366,1000,2091.282050193773,3454.041835299625,1065.95497090637,2388.086864393255,867.6326333981044,-337.43270581844854,1042.7072513779715,705.2745455595227,1380.1399571964205,2,-45,batteries
3266.82690083206,2478.23283813285,11579.773054770978,666.2296901219579,617,787,-3110,-162,-2245,1037,-5448,-498,-10206,607,-218,167,4497.765620964461,11579.773054770978,666.2296901219579,10913.54336464902,4196.105923218594,5851.068713674115,-3250.471502964013,2600.597210710102,-9101.540216638128,3,-62,screwdriver
507.67706270817473,2555.857194758737,2365.558496423202,914.9661195913212,86,472,-166,845,-2066,1245,73,-1973,1303,197,-123,885,1586.0147183703589,2555.857194758737,507.67706270817473,2048.1801320505624,889.016486412143,-298.7938776093408,-108.49517927380587,-407.2890568831465,190.29869833553497,2,-63,usb
8846.33426906309,855.3753562033454,6201.062973394159,10477.473073217609,-5361,-4822,-5125,-103,797,-293,3366,-4851,-1895,3987,-8152,-5237,6595.06141796955,10477.473073217609,855.3753562033454,9622.09771701426,3648.307161302276,1857.274406518149,-3488.413210672664,-1631.138804154516,-5345.687617190813,4,-72,magnet
981.0020387338652,2819.084603200124,3071.339772802742,1384.9851984768643,-906,227,300,2043,-1683,970,1586,-2426,1016,-840,-410,1022,2064.1029033033988,3071.339772802742,981.0020387338652,2090.3377340688767,897.0551569298731,-75.86399507019041,-328.1191646728089,-403.9831597429993,-252.25516960261805,3,-58,Knife
609.866378807686,3204.605591956677,2750.4774131048594,7859.251172980795,53,602,-82,928,-2872,1077,-86,-2183,1671,-945,60,7802,3606.050139212504,7859.251172980795,609.866378807686,7249.384794173109,2643.8607458573683,-3851.7564865124623,-3397.6283076606455,-7249.384794173109,454.1281788518172,4,-67,scissors
4326.01433192263,4146.607046731098,5638.838976243248,8920.911612610003,2660,1380,3120,1061,-3898,935,-1690,-2377,4826,-2590,2408,8190,5758.092991876745,8920.911612610003,4146.607046731098,4774.304565878905,1914.7701812227804,-1551.3326755876114,-3043.564605099761,-4594.8972806873735,-1492.2319295121497,4,-61,screwdriver
1097.3012348484804,2764.2700664008935,2961.337704484242,1366.2990155891937,-1053,250,181,1982,-1673,956,1331,-2538,-746,-832,-393,1010,2047.3020053307025,2961.337704484242,1097.3012348484804,1864.0364696357617,823.9798231564195,-35.9650713286826,-233.03270941203095,-268.9977807407133,-197.06763808334836,3,-60,Knife
